H,contrast,dpr_point,dpr_lo,dpr_hi,dpr_excl0,droc_point,droc_lo,droc_hi,droc_excl0,nboot
90,T2_increment_LR,-0.004346936520768001,-0.03342541975309239,0.016596966049524247,False,0.006803926242304303,-0.043149198351250584,0.05809334397454823,False,1000
90,T2_increment_HGB,-0.006303949293530536,-0.01959287977772832,0.002271607165539332,False,-0.07167958306759681,-0.1251490295317165,-0.022176711671181668,True,1000
90,model_effect_F1,-0.008764226028244344,-0.03863009591882843,0.010357567109326298,False,0.005222928705332031,-0.046492284209786315,0.05801834808155468,False,1000
90,model_effect_F2,-0.01072123880100688,-0.0318750815636364,-0.00036514136216436293,True,-0.07326058060456908,-0.13301705594696256,-0.009753993901517008,True,1000
90,content_vs_Mrole_LR,-0.017932663254716888,-0.05045145396173589,-0.0018577144852870784,True,-0.1202196969208933,-0.21965778857976695,-0.011577518732821314,True,1000
90,content_vs_Mrole_HGB,-0.02083031723096441,-0.054766245729973254,-0.004967183102906695,True,-0.14907598880793327,-0.23129132196265847,-0.06449455657900795,True,1000
90,best_vs_Mrole,-0.01506817532177488,-0.04372805750127203,-0.0025235293612574663,True,-0.06645665436226478,-0.13181776787197913,-0.0018197418504697764,True,1000
150,T2_increment_LR,-0.002205622836377062,-0.01741643250913244,0.011271295746373417,False,-0.016580707772791636,-0.05100235409585859,0.020280604899955187,False,1000
150,T2_increment_HGB,-0.007120374792616482,-0.023925038287125455,0.002905662135860661,False,-0.08160786386250352,-0.13328670501342538,-0.031062435750580784,True,1000
150,model_effect_F1,-0.00929666535479743,-0.028737638394117714,0.005430359543839899,False,-0.0006653359946773296,-0.040934797860112,0.03887593742668326,False,1000
150,model_effect_F2,-0.01421141731103685,-0.036193421397237295,0.0008308631481671771,False,-0.06569249208438921,-0.11370301923874322,-0.01819236739800464,True,1000
150,content_vs_Mrole_LR,-0.022777623348059228,-0.04666484672182308,-0.0044733670109664845,True,-0.1203416649758009,-0.216041499764454,-0.02337842617844054,True,1000
150,content_vs_Mrole_HGB,-0.027875762412225433,-0.05870803742033176,-0.0119881225266557,True,-0.15163133150562547,-0.22617311018883776,-0.07640644565265538,True,1000
150,best_vs_Mrole,-0.016417040147413912,-0.03789705069052779,-0.003647107450467927,True,-0.08227319985718085,-0.13925680603494958,-0.021625992591534034,True,1000
