H,model,roc,droc,droc_lo,droc_hi,dpr,dpr_lo,dpr_hi,ev50
90,hazard,0.7008576802906341,0.008728947177188418,-0.02069833525210561,0.03648206126246147,-0.0009427323193225978,-0.01011798466627264,0.005210895228777523,21
150,hazard,0.7081443929375733,0.004066393507282273,-0.006473008335828928,0.014902386684299843,0.0010709104468677212,-0.0012752274553110674,0.0033604847652491288,24
90,role_strat,0.6928717988443762,0.0009470234734307859,-0.050309966239302235,0.04606885174060864,-0.0018996287379771347,-0.013053637996830333,0.006083098697469312,25
150,role_strat,0.7195499163003026,0.014753837161853078,-0.02308511207282605,0.05286146615781976,0.007785331133744685,-0.003508209898303865,0.026041533195399758,24
