H,year,roc_base,roc_bf,droc,droc_lo,droc_hi,dpr,dpr_lo,dpr_hi
90,2022,0.688041457757768,0.6628999113203042,-0.02490145844689351,-0.06079119803275414,0.01263935521587882,0.00044507564881732416,-0.012850256507095927,0.016212611797067972
90,2023,0.602517970035507,0.6135403135013423,0.010824118175988384,-0.030223946559535357,0.04862996957331155,0.01165921933466688,-0.013637565753569513,0.040358990322467536
90,2024,0.7463896321640762,0.7225999522354306,-0.02455672219148053,-0.0648028854953374,0.009792300139709543,-0.0011485608407542005,-0.008218871550119253,0.007865950914607572
150,2022,0.672795980076585,0.6544819817693829,-0.01821116419479757,-0.04510983125185242,0.008682937566221204,-0.0002949133922680279,-0.019987329774583947,0.014271820872489915
150,2023,0.6008729114051607,0.6307351727873333,0.030007181997184995,-0.008055899334987402,0.0709404808465873,0.012705888410820407,-0.004711179692811053,0.04534569956387348
150,2024,0.7816835197728189,0.7643571195579177,-0.017453708991823136,-0.04263800126028749,0.0029018752692073165,-0.001046673781053855,-0.0062549024160395575,0.004894982075033607
