boundary,H,variant,record_type,interval_recal_intercept,interval_recal_slope,monotonicity_violations,n,positive_windows,prevalence,mean_pred,mean_error,cal_intercept_fixed_slope1,cal_intercept_joint,cal_slope_joint,brier,roc
mature_20241231,90,raw,summary,0.0,1.0,,12085,169.0,0.013984278030616467,0.009770320872437167,-0.0042139571581793,0.36344601809882865,4.5895407060762805,1.9399923823099479,0.013744146470720186,0.7008576802906341
mature_20241231,90,recal_grouped,summary,-0.16402965075218998,0.9664705368063654,,12085,169.0,0.013984278030616467,0.010020999344226638,-0.003963278686389829,0.33778319702661075,4.844214080061258,2.007152654259517,0.01374268943597949,0.7008576802906341
mature_20241231,90,recal_temporal,summary,-0.16162475716681604,0.9554215417175654,,12085,169.0,0.013984278030616467,0.01068755920046888,-0.0032967188301475867,0.272613862982867,4.814627494231837,2.029790808159547,0.013735318594166011,0.7008576802906341
mature_20241231,150,raw,summary,0.0,1.0,,11395,225.0,0.019745502413339184,0.0145984724752594,-0.005147029938079783,0.3079498084369187,4.247999513461116,1.962381548727269,0.0192527455075068,0.6958022480851487
mature_20241231,150,recal_grouped,summary,-0.16402965075218998,0.9664705368063654,,11395,225.0,0.019745502413339184,0.015020456203850915,-0.004725046209488269,0.27892113445876154,4.470635161596493,2.0301420232411367,0.019249618752854223,0.6958022480851487
mature_20241231,150,recal_temporal,summary,-0.16162475716681604,0.9554215417175654,,11395,225.0,0.019745502413339184,0.016033843318022496,-0.0037116590953166877,0.21246308696201133,4.4268825876696924,2.052581480024949,0.019235835475704757,0.6958022480851487
mature_20241231,0,viol_joint,consistency_check,,,0.0,12085,,,,,,,,,
mature_20241231,0,viol_platt,consistency_check,,,0.0,12085,,,,,,,,,
safety_20240630,90,raw,summary,0.0,1.0,,8673,133.0,0.01533494753833737,0.010142606502608193,-0.005192341035729176,0.4194293397455524,2.7785962605286,1.5266561630071394,0.01507215252605374,0.6594662886725009
safety_20240630,90,recal_grouped,summary,-0.16402965075218998,0.9664705368063654,,8673,133.0,0.01533494753833737,0.010388315292534431,-0.004946632245802938,0.3951543086023714,2.978997811832666,1.5795047066938182,0.015070164222114745,0.6594662886725009
safety_20240630,90,recal_temporal,summary,-0.16162475716681604,0.9554215417175654,,8673,133.0,0.01533494753833737,0.011074017503312291,-0.004260930035025078,0.3304310533848484,2.955746998295403,1.5973270546898322,0.015061830978978579,0.6594662886725009
safety_20240630,150,raw,summary,0.0,1.0,,8011,162.0,0.020222194482586442,0.014244939676205085,-0.005977254806381357,0.3572706176504806,3.2798486711393244,1.7066926715503015,0.019740573104757783,0.6651928609290483
safety_20240630,150,recal_grouped,summary,-0.16402965075218998,0.9664705368063654,,8011,162.0,0.020222194482586442,0.014668888151554548,-0.005553306331031894,0.3274023707001406,3.4734137863477432,1.765609000225561,0.019736504273230183,0.6651928609290483
safety_20240630,150,recal_temporal,summary,-0.16162475716681604,0.9554215417175654,,8011,162.0,0.020222194482586442,0.015663065984274586,-0.004559128498311856,0.26067747168701133,3.4355827676832904,1.7851799390565788,0.019722222514732084,0.6651928609290483
safety_20240630,0,viol_joint,consistency_check,,,0.0,8673,,,,,,,,,
safety_20240630,0,viol_platt,consistency_check,,,0.0,8673,,,,,,,,,
