H,tier,roc,droc,droc_lo,droc_hi,dpr,dpr_lo,dpr_hi,ev10,ev20,ev50
90,Ta_prior_tjs,0.6954112714047642,0.0049606583619815625,-0.04804352804927395,0.0542966361699025,0.0061038724148942715,-0.0015517729893362328,0.017051245486298244,6,12,28
90,Tb_pitchmix,0.6624919803516132,-0.029745114030255593,-0.057649640961753325,-0.003218379333649641,0.005704065368585056,-0.00719857109577069,0.03163672918020751,5,14,21
90,Tb_tw_swap,0.6920509642447825,-1.977059213575938e-05,-0.0010765343274369288,0.0015265122263770105,-7.549552315415896e-05,-0.0006520143852755134,0.00032152983947117143,6,12,24
90,Tc_rest,0.6892676745105284,-0.002899343542290045,-0.015375278249063757,0.009937247774619736,-0.005238233048794517,-0.013671272650589348,-0.001034870640604705,2,7,22
90,T_all,0.6707753088185345,-0.020905532205958255,-0.0764797453122663,0.037617131644044344,-0.00513019276281846,-0.013596741003904442,0.0023750126685234438,6,8,19
150,Ta_prior_tjs,0.7153036333767497,0.011811311305071237,-0.02856828401188512,0.05021324300938281,0.0061445718105306545,-0.0028932624195707824,0.015422641778511619,7,14,24
150,Tb_pitchmix,0.6844201910567264,-0.01924410754213768,-0.03849284657058093,-0.001047682220551962,0.00040144534318724626,-0.006040420565368589,0.012632277370032446,9,15,22
150,Tb_tw_swap,0.7042064577678743,0.00020497795883728243,-0.0006558578209807236,0.0013427553002876033,-2.4232055325326685e-05,-0.0004922437339560452,8.473007332933864e-05,8,11,23
150,Tc_rest,0.6978024835739809,-0.006397943149691443,-0.01354485043620422,0.0021394959769638158,-0.0037764959741910208,-0.008027701854723963,-0.0012418409715308774,5,9,24
150,T_all,0.6907008261490784,-0.012842744452615795,-0.055236123351665285,0.03243314522462451,-0.0012178216647756798,-0.01039965414166232,0.009517656167753775,5,12,19
