H,model,roc,roc_lo,roc_hi,pr,pr_lo,pr_hi,evrec_total,ev10,ev20,ev50,roc_2022,roc_2023,roc_2024
90,M-role,0.6773419856152834,0.6201021731159152,0.7330707081247291,0.03036096156965154,0.021017919919833015,0.04755384228975502,75,8,11,20,0.688041457757768,0.6018901013250195,0.7545242307711053
90,M_bf,0.6588334813119847,0.6064106195314508,0.7129355901179313,0.03128387933137419,0.02012865270096178,0.05376930719959815,75,9,12,21,0.6628999113203042,0.6047285009093271,0.7165416502171338
90,M_sa,0.692027128757317,0.6402874665112169,0.7460937603286304,0.03195806787588414,0.02185737150589948,0.04940699502656192,75,6,12,24,0.6919403799583888,0.6185546029271672,0.7796055036481409
150,M-role,0.6875092411450326,0.6309701755168606,0.7417269502557857,0.041551109536017636,0.030314304687465498,0.05899753575466174,80,9,15,25,0.672795980076585,0.6139728805446565,0.7967419460061017
150,M_bf,0.6840072651188847,0.6315363821796828,0.7373858896216743,0.042789778967840635,0.030068705204943286,0.06606537092771775,80,11,15,23,0.6544819817693829,0.6382959963219317,0.7783141777155247
150,M_sa,0.7039824412671828,0.6502568804834157,0.7574598602578687,0.04401617121517147,0.031296579453081244,0.06314830656494912,80,8,11,23,0.6875403140801153,0.6318940162112118,0.8158451177159085
