r^2,RMSE,Feature,Importance,Iteration
0.7806313037872314,93.2413558959961,diff_release_speed_FF,18.24390314770973,102
0.7806313037872314,93.2413558959961,diff_spin_axis_FF,17.262741091419862,102
0.7806313037872314,93.2413558959961,diff_release_extension_FF,14.181341189195917,102
0.7806313037872314,93.2413558959961,diff_release_extension_SL,13.080139663994549,102
0.7806313037872314,93.2413558959961,diff_spin_axis_SI,11.695322425092515,102
0.7806313037872314,93.2413558959961,diff_release_spin_rate_FF,11.141998865414676,102
0.7806313037872314,93.2413558959961,diff_release_pos_x_SI,11.104814465559,102
0.7806313037872314,93.2413558959961,diff_release_pos_z_SI,10.614389472550531,102
0.7806313037872314,93.2413558959961,diff_pfx_z_CH,9.976440426547278,102
0.7806313037872314,93.2413558959961,diff_spin_axis_SL,9.288920508724106,102
0.7851446866989136,95.11670684814453,diff_release_speed_FF,18.539143338347277,202
0.7851446866989136,95.11670684814453,diff_spin_axis_FF,16.74376646339889,202
0.7851446866989136,95.11670684814453,diff_release_extension_SL,13.13496624837079,202
0.7851446866989136,95.11670684814453,diff_release_pos_x_SI,12.367068727044575,202
0.7851446866989136,95.11670684814453,diff_release_speed_SL,10.978722677520402,202
0.7851446866989136,95.11670684814453,diff_release_extension_FF,10.29970752744044,202
0.7851446866989136,95.11670684814453,diff_release_spin_rate_SL,9.895327861431328,202
0.7851446866989136,95.11670684814453,diff_release_pos_z_CH,9.782036204836686,202
0.7851446866989136,95.11670684814453,diff_release_spin_rate_FF,9.70872323233852,202
0.7851446866989136,95.11670684814453,diff_release_extension_CU,9.292741404518631,202
0.7805145382881165,96.59226989746094,diff_release_speed_FF,16.47722227518917,302
0.7805145382881165,96.59226989746094,diff_release_extension_SL,15.681327490752674,302
0.7805145382881165,96.59226989746094,diff_spin_axis_FF,12.780776254092267,302
0.7805145382881165,96.59226989746094,diff_release_spin_rate_FF,11.779591279122542,302
0.7805145382881165,96.59226989746094,diff_release_pos_x_SI,10.722053807187601,302
