model,seed,pr_auc,roc_auc,precision_at_50,recall_at_100,base_rate,n_test,n_test_pos,train_time_s
lr_baseline,0,0.024366320355709358,0.5641884671283235,0.0,0.0,0.018502202643171806,4540,84,0
vit,100,0.020199966871934944,0.5335502692998205,0.04,0.023809523809523808,0.018502202643171806,4540,84,730.0
vit,200,0.020933792922810203,0.5531172522869111,0.02,0.023809523809523808,0.018502202643171806,4540,84,944.7
vit,300,0.02009866256965426,0.5415517867829358,0.02,0.011904761904761904,0.018502202643171806,4540,84,816.3
