variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v9o_snap,100,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.6963350785340314,0.6837121212121213,0.36409006569879215,191,48,0.5121618020228851,32,146.4
v9o_snap,200,0.375,0.1875,0.25,0.7172774869109948,0.6673951048951049,0.36237856027642945,191,48,0.4413654355921297,32,145.4
v9o_snap,300,0.42424242424242425,0.2916666666666667,0.345679012345679,0.7225130890052356,0.6305361305361304,0.35040481088430686,191,48,0.3959517295543964,32,145.3
v9o_snap,400,0.45652173913043476,0.4375,0.44680851063829785,0.7277486910994765,0.6752622377622378,0.43445139295192403,191,48,0.5944036927997557,33,150.0
v9o_snap,500,0.3793103448275862,0.22916666666666666,0.2857142857142857,0.7120418848167539,0.6589452214452215,0.35119505611776114,191,48,0.559088495042589,32,145.3
v9o_snap,600,0.36363636363636365,0.08333333333333333,0.13559322033898305,0.7329842931937173,0.6647727272727273,0.3740463226647444,191,48,0.5865993571077657,33,149.8
v9o_snap,700,0.3548387096774194,0.22916666666666666,0.27848101265822783,0.7015706806282722,0.7138694638694638,0.3984828368886807,191,48,0.47806912202101487,35,158.8
v9o_snap,800,0.3870967741935484,0.25,0.3037974683544304,0.7120418848167539,0.6960955710955711,0.3927422720173241,191,48,0.4152782116180811,32,145.3
v9o_snap,900,0.46938775510204084,0.4791666666666667,0.4742268041237113,0.7329842931937173,0.7058566433566433,0.4345415278720321,191,48,0.4471503669380123,32,145.3
v9o_snap,1000,0.35,0.14583333333333334,0.20588235294117646,0.7172774869109948,0.6535547785547785,0.39613573043531114,191,48,0.6100933195179344,32,145.4
