variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v8_causal,100,0.5833333333333334,0.3684210526315789,0.45161290322580644,0.8702290076335878,0.9313909774436091,0.6737228893859979,131,19,0.41711927177314473,32,165.8
v8_causal,200,0.72,0.8571428571428571,0.782608695652174,0.9236641221374046,0.9593073593073592,0.9233966423257313,131,21,0.3316078437002082,32,165.6
v8_causal,300,0.9230769230769231,0.5217391304347826,0.6666666666666666,0.9090909090909091,0.9369764658954927,0.8248113614784804,132,23,0.3379126068289953,33,171.1
v8_causal,400,0.5185185185185185,0.7,0.5957446808510638,0.8571428571428571,0.9234513274336283,0.7596013708513709,133,20,0.29571325264193793,32,165.4
v8_causal,500,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.9007633587786259,0.938949938949939,0.7062619687373382,131,14,0.2665905374747056,33,171.7
v8_causal,600,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.8872180451127819,0.9464831804281346,0.8387718631652661,133,24,0.4631421561424549,32,165.8
v8_causal,700,0.7894736842105263,0.75,0.7692307692307693,0.9318181818181818,0.9178571428571429,0.8590377941740563,132,20,0.41378774715743905,32,165.9
v8_causal,800,0.6428571428571429,0.5625,0.6,0.9076923076923077,0.8837719298245614,0.6247641030768084,130,16,0.2803707794467015,32,165.9
v8_causal,900,0.8461538461538461,0.8148148148148148,0.8301886792452831,0.9318181818181818,0.9259259259259258,0.8845276429073301,132,27,0.36918263853961275,32,165.7
v8_causal,1000,0.7727272727272727,0.5862068965517241,0.6666666666666666,0.8712121212121212,0.87612989621694,0.7920650505315103,132,29,0.20192628090198222,35,181.5
