H,model,d_pr,d_pr_lo,d_pr_hi,d_roc,d_roc_lo,d_roc_hi
90,M1_trend,-0.005851075816128534,-0.010891706566409066,-0.0012374131609122956,-0.0749644624646692,-0.12263615448212471,-0.030095032744758603
90,M2_variability,-0.002308738564430497,-0.009035731043329656,0.004714479410329358,-0.03850982586867228,-0.08420154206803927,0.013376664783323533
90,M3_all,-0.006861465935180613,-0.013039423811008614,-0.0013116895519418696,-0.09126777137642421,-0.14848296583165094,-0.03293535510079259
90,GBM_M3,-0.008979957411858986,-0.01712530335278397,-0.0024204879627064252,-0.14019910615919223,-0.22879971863056314,-0.054320837766786076
150,M1_trend,-0.008231981468385783,-0.014065912836544571,-0.002547217586140563,-0.07043815651976554,-0.1205143691553661,-0.021908910903633942
150,M2_variability,-0.002649755434903785,-0.00851481230372432,0.0035319165844060725,-0.006252330672977606,-0.04422906521399701,0.03476725877990648
150,M3_all,-0.008579324588634854,-0.014525557852939701,-0.0028925768198477795,-0.05550515582570374,-0.11492273640701695,0.0015819723841558626
150,GBM_M3,-0.004979294595802742,-0.015562086179238521,0.009596965750757856,-0.09607649211353983,-0.18550271279071195,-0.010411215507200545
