foldset,H,B,F,end,embargo,fold,n_windows,n_pos,n_distinct_surg,base_rate
alt,90,30,INF,e0a_2024-12-31,none,train,11346,59,35,0.005200070509430637
alt,90,30,INF,e0a_2024-12-31,none,valid,10914,57,32,0.005222649807586586
alt,90,30,INF,e0a_2024-12-31,none,test,13899,78,45,0.005611914526224908
alt,90,30,INF,e0a_2024-12-31,strict,train,11346,59,35,0.005200070509430637
alt,90,30,INF,e0a_2024-12-31,strict,valid,10914,57,32,0.005222649807586586
alt,90,30,INF,e0a_2024-12-31,strict,test,13899,78,45,0.005611914526224908
alt,90,60,30,cons_2023-12-31,none,train,6611,16,16,0.002420208743004084
alt,90,60,30,cons_2023-12-31,none,valid,2977,9,9,0.0030231776956667787
alt,90,60,30,cons_2023-12-31,none,test,4540,22,22,0.004845814977973568
alt,90,60,30,cons_2023-12-31,strict,train,6611,16,16,0.002420208743004084
alt,90,60,30,cons_2023-12-31,strict,valid,2977,9,9,0.0030231776956667787
alt,90,60,30,cons_2023-12-31,strict,test,4540,22,22,0.004845814977973568
alt,90,60,30,e0a_2024-12-31,none,train,6611,16,16,0.002420208743004084
alt,90,60,30,e0a_2024-12-31,none,valid,2977,9,9,0.0030231776956667787
alt,90,60,30,e0a_2024-12-31,none,test,4540,22,22,0.004845814977973568
alt,90,60,30,e0a_2024-12-31,strict,train,6611,16,16,0.002420208743004084
alt,90,60,30,e0a_2024-12-31,strict,valid,2977,9,9,0.0030231776956667787
alt,90,60,30,e0a_2024-12-31,strict,test,4540,22,22,0.004845814977973568
alt,90,60,365,cons_2023-12-31,none,train,9886,26,26,0.0026299817924337445
alt,90,60,365,cons_2023-12-31,none,valid,7063,25,25,0.003539572419651706
alt,90,60,365,cons_2023-12-31,none,test,8011,34,34,0.004244164274123081
alt,90,60,365,cons_2023-12-31,strict,train,9886,26,26,0.0026299817924337445
alt,90,60,365,cons_2023-12-31,strict,valid,7063,25,25,0.003539572419651706
alt,90,60,365,cons_2023-12-31,strict,test,8011,34,34,0.004244164274123081
alt,90,60,365,e0a_2024-12-31,none,train,9886,26,26,0.0026299817924337445
alt,90,60,365,e0a_2024-12-31,none,valid,7063,25,25,0.003539572419651706
alt,90,60,365,e0a_2024-12-31,none,test,8011,34,34,0.004244164274123081
alt,90,60,365,e0a_2024-12-31,strict,train,9886,26,26,0.0026299817924337445
alt,90,60,365,e0a_2024-12-31,strict,valid,7063,25,25,0.003539572419651706
alt,90,60,365,e0a_2024-12-31,strict,test,8011,34,34,0.004244164274123081
alt,90,60,730,cons_2023-12-31,none,train,10958,26,26,0.0023726957473991605
alt,90,60,730,cons_2023-12-31,none,valid,8561,27,27,0.0031538371685550753
alt,90,60,730,cons_2023-12-31,none,test,9689,35,35,0.0036123438951388173
alt,90,60,730,cons_2023-12-31,strict,train,10958,26,26,0.0023726957473991605
alt,90,60,730,cons_2023-12-31,strict,valid,8561,27,27,0.0031538371685550753
alt,90,60,730,cons_2023-12-31,strict,test,9689,35,35,0.0036123438951388173
alt,90,60,730,e0a_2024-12-31,none,train,10958,26,26,0.0023726957473991605
alt,90,60,730,e0a_2024-12-31,none,valid,8561,27,27,0.0031538371685550753
alt,90,60,730,e0a_2024-12-31,none,test,9689,35,35,0.0036123438951388173
alt,90,60,730,e0a_2024-12-31,strict,train,10958,26,26,0.0023726957473991605
